fold,target,spearman_rho,p_value
0,HIC,0.07364091365687468,0.6002489045809852
1,HIC,0.19543974200574732,0.18311229210154514
2,HIC,0.026440807976371654,0.8584169960635574
3,HIC,0.18995595008567523,0.21681816802987822
4,HIC,0.3028803233607696,0.034396047856659194
0,SMAC,-0.2142398687923215,0.12345170456910992
1,SMAC,0.4759241747690496,0.0006285639398267992
2,SMAC,0.2143615316384895,0.1434508097605492
3,SMAC,0.11030011134446253,0.4759914709221884
4,SMAC,0.2597621630850931,0.07147061350044373
0,HAC,0.47311022525909796,0.03513168523566042
1,HAC,0.6931518876207199,0.0010002739292475705
2,HAC,0.3931888544891641,0.106484795695208
3,HAC,0.507726406770787,0.04467068000804308
4,HAC,0.6112374469824904,0.003241599559793613
0,PR_Ova,0.26395068671532423,0.07976887996304914
1,PR_Ova,0.3129078446980011,0.04930679891183943
2,PR_Ova,0.47861371469549147,0.0031489057330227298
3,PR_Ova,0.24403951070937713,0.15771791074628336
4,PR_Ova,0.5285924777613621,0.00038135533569865106
0,PR_CHO,0.3289918827216835,0.02733697736834135
1,PR_CHO,0.11700374663920317,0.47213680044399065
2,PR_CHO,0.09948806546213645,0.5637387915082648
3,PR_CHO,-0.18892786699199646,0.2770608644513849
4,PR_CHO,0.22616204518858446,0.15506739827182262
0,AC-SINS_pH6.0,0.38250870887015037,0.0047034937968421725
1,AC-SINS_pH6.0,0.32809410859711036,0.022809663577250904
2,AC-SINS_pH6.0,0.2013822122355716,0.16989285817445712
3,AC-SINS_pH6.0,0.3821035695325653,0.010480375842645351
4,AC-SINS_pH6.0,0.2222629135850058,0.1247969205784263
0,AC-SINS_pH7.4,0.4676608318891024,0.0004142539196504024
1,AC-SINS_pH7.4,0.26471534786590356,0.06902660518254942
2,AC-SINS_pH7.4,0.32741397246852977,0.023110108379822095
3,AC-SINS_pH7.4,0.6553023664088763,1.385585663749386e-06
4,AC-SINS_pH7.4,0.5236845374190575,0.00011273929198447549
0,Tm1,0.13229291716686675,0.35975814838951936
1,Tm1,-0.005242383125693846,0.9724168256991744
2,Tm1,0.15362318840579708,0.3080532231013544
3,Tm1,0.27723749119097957,0.06846381390490283
4,Tm1,0.18813439749801691,0.20035336936823964
0,Tm2,-0.1437282229965157,0.36997721138839523
1,Tm2,0.05274388583700297,0.7531466615361433
2,Tm2,0.0476529160739687,0.7794225094504945
3,Tm2,0.27301286278769415,0.10206970366323306
4,Tm2,0.26378986866791754,0.10002582575845725
0,Titer,0.2935887134962112,0.03287076556684242
1,Titer,0.3414038345945827,0.017558158654038775
2,Titer,0.4073902796513887,0.00448099443356659
3,Titer,0.13440936135797205,0.38437654728665394
4,Titer,0.2909763814485511,0.047224170140720625
